Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Valenciennes,Chateauroux,1-0,Sat 12 Sep ,/match/valenciennes-afc/berrichonne-chateauroux/2021,2021,3,ligue_2
Toulouse,Sochaux,0-0,Mon 14 Sep ,/match/toulouse-fc/sochaux/2021,2021,3,ligue_2
Ajaccio,Dunkerque,1-0,Wed 30 Sep ,/match/ajaccio/dunkerque/2021,2021,3,ligue_2
Clermont,Toulouse,1-1,Sat 19 Sep ,/match/clermont-foot/toulouse-fc/2021,2021,4,ligue_2
Caen,Chambly,0-0,Sat 19 Sep ,/match/caen/chambly/2021,2021,4,ligue_2
Chateauroux,Amiens SC,0-0,Sat 19 Sep ,/match/berrichonne-chateauroux/amiens-sc/2021,2021,4,ligue_2
Dunkerque,Valenciennes,1-0,Sat 19 Sep ,/match/dunkerque/valenciennes-afc/2021,2021,4,ligue_2
Grenoble,Ajaccio,2-0,Sat 19 Sep ,/match/grenoble-foot-38/ajaccio/2021,2021,4,ligue_2
Le Havre,Niort,0-1,Sat 19 Sep ,/match/havre-ac/chamois-niortais/2021,2021,4,ligue_2
Paris FC,Nancy,0-2,Sat 19 Sep ,/match/paris-sg/nancy/2021,2021,4,ligue_2
Pau FC,Guingamp,0-1,Sat 19 Sep ,/match/pau/guingamp/2021,2021,4,ligue_2
Sochaux,Rodez,2-2,Sat 19 Sep ,/match/sochaux/rodez/2021,2021,4,ligue_2
Auxerre,Troyes,2-1,Mon 21 Sep ,/match/auxerre/troyes/2021,2021,4,ligue_2
Toulouse,Auxerre,3-1,Sat 26 Sep ,/match/toulouse-fc/auxerre/2021,2021,5,ligue_2
Ajaccio,Sochaux,1-1,Sat 26 Sep ,/match/ajaccio/sochaux/2021,2021,5,ligue_2
Amiens SC,Pau FC,0-0,Sat 26 Sep ,/match/amiens-sc/pau/2021,2021,5,ligue_2
Chambly,Chateauroux,2-1,Sat 26 Sep ,/match/chambly/berrichonne-chateauroux/2021,2021,5,ligue_2
Guingamp,Grenoble,1-0,Sat 26 Sep ,/match/guingamp/grenoble-foot-38/2021,2021,5,ligue_2
Nancy,Le Havre,0-1,Sat 26 Sep ,/match/nancy/havre-ac/2021,2021,5,ligue_2
Niort,Paris FC,2-2,Sat 26 Sep ,/match/chamois-niortais/paris-sg/2021,2021,5,ligue_2
Rodez,Dunkerque,2-1,Sat 26 Sep ,/match/rodez/dunkerque/2021,2021,5,ligue_2
Valenciennes,Caen,1-0,Sat 26 Sep ,/match/valenciennes-afc/caen/2021,2021,5,ligue_2
Troyes,Clermont,1-0,Mon 28 Sep ,/match/troyes/clermont-foot/2021,2021,5,ligue_2
Toulouse,Troyes,0-0,Sat 03 Oct ,/match/toulouse-fc/troyes/2021,2021,6,ligue_2
Caen,Amiens SC,1-0,Sat 03 Oct ,/match/caen/amiens-sc/2021,2021,6,ligue_2
Auxerre,Ajaccio,5-1,Sat 03 Oct ,/match/auxerre/ajaccio/2021,2021,6,ligue_2
Chateauroux,Niort,2-0,Sat 03 Oct ,/match/berrichonne-chateauroux/chamois-niortais/2021,2021,6,ligue_2
Clermont,Rodez,3-0,Sat 03 Oct ,/match/clermont-foot/rodez/2021,2021,6,ligue_2
Dunkerque,Guingamp,1-0,Sat 03 Oct ,/match/dunkerque/guingamp/2021,2021,6,ligue_2
Grenoble,Valenciennes,2-0,Sat 03 Oct ,/match/grenoble-foot-38/valenciennes-afc/2021,2021,6,ligue_2
Paris FC,Le Havre,3-0,Sat 03 Oct ,/match/paris-sg/havre-ac/2021,2021,6,ligue_2
Pau FC,Nancy,1-1,Sat 03 Oct ,/match/pau/nancy/2021,2021,6,ligue_2
Sochaux,Chambly,3-2,Sat 03 Oct ,/match/sochaux/chambly/2021,2021,6,ligue_2
Chambly,Clermont,0-3,Fri 16 Oct ,/match/chambly/clermont-foot/2021,2021,7,ligue_2
Valenciennes,Sochaux,0-0,Sat 17 Oct ,/match/valenciennes-afc/sochaux/2021,2021,7,ligue_2
Ajaccio,Toulouse,0-1,Sat 17 Oct ,/match/ajaccio/toulouse-fc/2021,2021,7,ligue_2
Amiens SC,Grenoble,1-0,Sat 17 Oct ,/match/amiens-sc/grenoble-foot-38/2021,2021,7,ligue_2
Le Havre,Chateauroux,1-1,Sat 17 Oct ,/match/havre-ac/berrichonne-chateauroux/2021,2021,7,ligue_2
Nancy,Dunkerque,2-1,Sat 17 Oct ,/match/nancy/dunkerque/2021,2021,7,ligue_2
Niort,Caen,3-0,Sat 17 Oct ,/match/chamois-niortais/caen/2021,2021,7,ligue_2
Paris FC,Pau FC,1-0,Sat 17 Oct ,/match/paris-sg/pau/2021,2021,7,ligue_2
Rodez,Troyes,0-1,Sat 17 Oct ,/match/rodez/troyes/2021,2021,7,ligue_2
Guingamp,Auxerre,2-0,Mon 19 Oct ,/match/guingamp/auxerre/2021,2021,7,ligue_2
Caen,Guingamp,1-0,Sat 24 Oct ,/match/caen/guingamp/2021,2021,8,ligue_2
Auxerre,Chambly,4-0,Sat 24 Oct ,/match/auxerre/chambly/2021,2021,8,ligue_2
Chateauroux,Paris FC,1-2,Sat 24 Oct ,/match/berrichonne-chateauroux/paris-sg/2021,2021,8,ligue_2
Clermont,Ajaccio,0-2,Sat 24 Oct ,/match/clermont-foot/ajaccio/2021,2021,8,ligue_2
Dunkerque,Le Havre,0-1,Sat 24 Oct ,/match/dunkerque/havre-ac/2021,2021,8,ligue_2
Pau FC,Niort,4-1,Sat 24 Oct ,/match/pau/chamois-niortais/2021,2021,8,ligue_2
Toulouse,Rodez,3-0,Sat 24 Oct ,/match/toulouse-fc/rodez/2021,2021,8,ligue_2
Troyes,Valenciennes,1-1,Sat 24 Oct ,/match/troyes/valenciennes-afc/2021,2021,8,ligue_2
Sochaux,Amiens SC,0-2,Mon 26 Oct ,/match/sochaux/amiens-sc/2021,2021,8,ligue_2
Grenoble,Nancy,1-0,Tue 24 Nov ,/match/grenoble-foot-38/nancy/2021,2021,8,ligue_2
Paris FC,Caen,3-1,Sat 31 Oct ,/match/paris-sg/caen/2021,2021,9,ligue_2
